id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-09-06T00:05:48;payment unleash Jamaican Dollar;1
2;Rest;2020-09-06T19:22:18;Plains;2
3;Quality Plastic plum;2020-09-05T23:42:40;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-09-06T20:09:52;Architect SSL;4
5;zero tolerance;2020-09-06T17:06:11;user-facing CSS;5
6;ADP Ouguiya;2020-09-06T13:02:39;Garden;6
7;auxiliary;2020-09-06T21:18:39;functionalities Bedfordshire withdrawal;7
8;Data;2020-09-06T00:16:40;Viaduct hybrid;8
9;mesh;2020-09-06T22:42:19;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-09-06T20:41:13;Re-engineered withdrawal Ball;10
